sample,file,mse,mae,rmse,relative_l2,r2
1,Training dataset/2/PT_14.mat,137557763.7315131,4841.607033905173,11728.502194718349,0.5879707984555754,0.6536479338448766
2,Training dataset/4/Photothermal5_Data1_06_pw6.mat,228588399.83413884,11061.959191608625,15119.140181708048,0.355095694599236,0.8730893454439428
3,Training dataset/8/Photothermal2_Data1_ax5_11_pw11.mat,18792057.658908933,2967.614765135853,4334.980698793125,0.5675081915302176,0.6589751332587311
4,Training dataset/5/Photothermal_Data1_ax5_01_pw1.mat,766029304.9028044,19378.25720308307,27677.234415721603,0.23834570282233494,0.9427183655519481
5,Training dataset/9/Photothermal_Data1_plain_13_pw13.mat,33252007.02891124,2991.5813289444072,5766.4553261870715,0.3462532670906088,0.878985606434687
6,Training dataset/9/Photothermal4_Data1_plain_02_pw2.mat,91730707.25527461,5051.854993764398,9577.614904310707,0.6032614818072165,0.630392727009499
7,Training dataset/10/Photothermal3_Data1_plain_08_pw8.mat,153944048.17762902,7257.776999022057,12407.419078020579,0.37925519451623557,0.855129668319525
8,Training dataset/9/Photothermal5_Data1_plain_12_pw12.mat,115625882.87295116,6376.159328581742,10752.947636483272,0.3944631638954096,0.8346271945732902
9,Training dataset/10/Photothermal2_Data1_plain_02_pw2.mat,70488831.66838808,5165.443565674942,8395.762721062814,0.29192960374034205,0.9142602604550638
10,Training dataset/3/Photothermal5_Data1_09_pw9.mat,238949551.87113446,9061.343601911647,15457.993138539507,0.4983763112312882,0.7432115390518426
11,Training dataset/2/PT_93.mat,57843531.58673836,3793.7063120967673,7605.493513687219,0.397049579864972,0.837832658413239
12,Training dataset/8/Photothermal4_Data1_ax5_06_pw6.mat,15971589.35230115,3010.1651149291706,3996.447091142475,0.5236816746301,0.7103263733009633
13,Training dataset/1/Irregular_3_Chirp_1_0.2.mat,96651844.21584316,5415.217939478611,9831.166981383398,0.4716133767340316,0.769310004077102
14,Training dataset/1/Irregular_4_Chirp_4_0.2.mat,138878675.1774141,6806.373533492476,11784.67968073015,0.43102981275753416,0.8025836355861453
15,Training dataset/9/Photothermal2_Data1_plain_02_pw2.mat,42299364.53048492,3364.7492388648525,6503.796163048541,0.40955858777124815,0.8295575919164679
16,Training dataset/2/PT_49.mat,41702278.98041245,3558.6078250359787,6457.730172468687,0.3693393327720854,0.8615141204551051
17,Training dataset/7/Photothermal3_Data1_ax5_16_pw16.mat,151828364796.78854,277130.902841197,389651.594115549,0.4628913692842198,0.7657599379522133
18,Training dataset/4/Photothermal5_Data1_03_pw3.mat,536820782.3089117,18091.529774519156,23169.393222717586,0.4786029263105742,0.7688057468641665
19,Training dataset/7/Photothermal_Data1_ax5_10_pw10.mat,30379003.749127276,2374.6261913158855,5511.715136790659,0.7400328014561305,0.45010832269492096
