sample,file,mse,mae,rmse,relative_l2,r2
1,Training dataset/2/PT_14.mat,87626495.5739509,4799.718524698649,9360.902497833791,0.46927879431156416,0.7793681900522444
2,Training dataset/4/Photothermal5_Data1_06_pw6.mat,457702748.5255176,14575.291385880582,21393.988607212017,0.5024699302767911,0.745886682999396
3,Training dataset/8/Photothermal2_Data1_ax5_11_pw11.mat,29003662.75162508,3770.3869891954373,5385.504874347908,0.7050361516359124,0.47366221122867336
4,Training dataset/5/Photothermal_Data1_ax5_01_pw1.mat,1303930769.8511071,22942.360451752746,36109.981581982385,0.31096527951171254,0.9024955243686092
5,Training dataset/9/Photothermal_Data1_plain_13_pw13.mat,52854054.259208865,3914.089307673715,7270.079384656598,0.43654005576482935,0.8076476625401287
6,Training dataset/9/Photothermal4_Data1_plain_02_pw2.mat,52720892.57911517,4069.8381773367328,7260.915409169505,0.45734043861772017,0.7875735832242197
7,Training dataset/10/Photothermal3_Data1_plain_08_pw8.mat,130279200.18666491,7115.617066082678,11413.991422226709,0.3488892857523365,0.8773996685265196
8,Training dataset/9/Photothermal5_Data1_plain_12_pw12.mat,114000971.97246546,6203.005765695172,10677.123768715312,0.3916816267168222,0.8369512076379056
9,Training dataset/10/Photothermal2_Data1_plain_02_pw2.mat,141482595.16639468,6775.449678007267,11894.645651148869,0.4135894898150567,0.8279063394688311
10,Training dataset/3/Photothermal5_Data1_09_pw9.mat,166289195.04975227,8581.666671617702,12895.316787491196,0.4157538676639054,0.8212963930611915
11,Training dataset/2/PT_93.mat,42829493.56899876,3763.6352870431015,6544.424617107203,0.3416558093986673,0.8799252930243796
12,Training dataset/8/Photothermal4_Data1_ax5_06_pw6.mat,24799682.88432845,3729.9595948630085,4979.9279999141,0.6525538695842094,0.55021295572494
13,Training dataset/1/Irregular_3_Chirp_1_0.2.mat,89684475.93701828,5360.363217714961,9470.188801550805,0.45429680103509756,0.7859398184456029
14,Training dataset/1/Irregular_4_Chirp_4_0.2.mat,189202948.70575774,7230.620937616954,13755.106277515915,0.5030990266460547,0.7310475623642416
15,Training dataset/9/Photothermal2_Data1_plain_02_pw2.mat,57643779.19169397,4162.7448929094935,7592.350044070279,0.47810726040133267,0.7677283176116964
16,Training dataset/2/PT_49.mat,36000223.87260314,3659.0676720777196,6000.018656021258,0.3431612706974188,0.8804496346069839
17,Training dataset/7/Photothermal3_Data1_ax5_16_pw16.mat,225898931961.4268,339708.2854214715,475288.2619647016,0.5646244945465622,0.6514842275215189
18,Training dataset/4/Photothermal5_Data1_03_pw3.mat,740430360.3078038,20274.96861172187,27210.850047505017,0.5620860442931356,0.6811165786948477
19,Training dataset/7/Photothermal_Data1_ax5_10_pw10.mat,34250588.0336638,2948.6499908386354,5852.400194250544,0.7857750286083628,0.3800286035688739
20,Training dataset/8/Photothermal2_Data1_ax5_04_pw4.mat,14881306.661538566,2522.5049357924777,3857.62966879126,0.910211322572145,0.1713310605993722
21,Training dataset/3/Photothermal5_Data1_13_pw13.mat,330726043.59058875,11614.639231439465,18185.87483709785,0.5568486409019037,0.6887636545716322
22,Training dataset/7/Photothermal2_Data1_ax5_06_pw6.mat,93562320.35239686,6190.490554886321,9672.761774818859,0.6947520399679402,0.4940496519775369
