sample,file,mse,mae,rmse,relative_l2,r2
1,Training dataset/2/PT_14.mat,40472795.479991905,2507.877454725679,6361.823282675487,0.31892958308286373,0.8980949096778782
2,Training dataset/4/Photothermal5_Data1_06_pw6.mat,163025993.26806495,9251.331858301306,12768.163269165418,0.2998794739866311,0.9094891274871615
3,Training dataset/8/Photothermal2_Data1_ax5_11_pw11.mat,16299900.120981164,2647.9838393826026,4037.3134781660397,0.5285394860633318,0.7042010317577787
4,Training dataset/5/Photothermal_Data1_ax5_01_pw1.mat,189193960.04896832,8428.786927398789,13754.779534727859,0.11845087359988335,0.9858525787591385
5,Training dataset/9/Photothermal_Data1_plain_13_pw13.mat,20181452.786048867,2264.4914732735774,4492.377186529296,0.26974981853672364,0.926553417721605
6,Training dataset/9/Photothermal4_Data1_plain_02_pw2.mat,13097632.042795187,2176.863364750809,3619.065078552082,0.22795263579259611,0.9472261775056556
7,Training dataset/10/Photothermal3_Data1_plain_08_pw8.mat,68548005.58202492,4874.478827918849,8279.37229396196,0.25307398179056384,0.9354923271002685
8,Training dataset/9/Photothermal5_Data1_plain_12_pw12.mat,45762626.43134216,4202.216288285984,6764.8079375058505,0.24816149323740724,0.9345484442703793
9,Training dataset/10/Photothermal2_Data1_plain_02_pw2.mat,85625160.86754636,4914.430444956667,9253.386454025702,0.32175009353265893,0.8958490470403258
10,Training dataset/3/Photothermal5_Data1_09_pw9.mat,206732954.49225503,8412.574243289002,14378.211101950585,0.4635633970640977,0.7778332840734463
11,Training dataset/2/PT_93.mat,36603799.86604309,2790.714329386918,6050.107425991962,0.3158496693613574,0.8973793481584211
12,Training dataset/8/Photothermal4_Data1_ax5_06_pw6.mat,7327605.099684626,1943.111351628503,2706.954949696176,0.3547107390329251,0.867100643685271
13,Training dataset/1/Irregular_3_Chirp_1_0.2.mat,31725473.86722598,3597.9417616115697,5632.537071979729,0.2701998484133346,0.9242771879164756
14,Training dataset/1/Irregular_4_Chirp_4_0.2.mat,44303437.61436504,4186.9792711448445,6656.082752968524,0.24344913739165122,0.9370225589084078
15,Training dataset/9/Photothermal2_Data1_plain_02_pw2.mat,18351252.96965985,2318.845396672384,4283.836244496263,0.26976274756384655,0.9260548761850859
16,Training dataset/2/PT_49.mat,16649220.664701061,2089.3432252656885,4080.3456550519177,0.23336870718775152,0.9447108881370453
17,Training dataset/7/Photothermal3_Data1_ax5_16_pw16.mat,193337466170.8862,313139.6689732887,439701.5648947434,0.5223488432340022,0.7017198984350245
18,Training dataset/4/Photothermal5_Data1_03_pw3.mat,692186018.5133258,20488.968109181576,26309.428319773993,0.5434656515327255,0.7018941239700995
19,Training dataset/7/Photothermal_Data1_ax5_10_pw10.mat,11860334.139586674,1488.790072949918,3443.883583918985,0.4623945093759557,0.7853155723184844
20,Training dataset/8/Photothermal2_Data1_ax5_04_pw4.mat,6550178.663101153,1346.8618767557166,2559.3316829010564,0.603876695819813,0.6352518199128897
21,Training dataset/3/Photothermal5_Data1_13_pw13.mat,355791906.9607418,11654.010260276447,18862.447003523743,0.5775651703132133,0.6651749287343667
22,Training dataset/7/Photothermal2_Data1_ax5_06_pw6.mat,53288272.73424044,4892.637543725363,7299.881693167393,0.5243184754409366,0.7118367722057848
23,Training dataset/10/Photothermal2_Data1_plain_01_pw1.mat,37757124811.45816,51375.51328614565,194311.92658058373,0.3398315700349479,0.8843583671869325
24,Training dataset/4/Photothermal_Data1_04_pw4.mat,96083955.1858383,7147.554601267173,9802.242354983797,0.5262063709101417,0.7215892812498471
25,Training dataset/10/Photothermal4_Data1_plain_16_pw16.mat,38432041480.480774,78231.98625546269,196040.91787298073,0.21945495640698565,0.9490088927989301
26,Training dataset/6/Photothermal_Data1_ax5_06_pw6.mat,4634941.09660934,1301.1086201148223,2152.89133413866,0.32096452195971803,0.8943002268687633
27,Training dataset/5/Photothermal_Data1_ax5_07_pw7.mat,2088851.1369101896,631.0178730815132,1445.2858322526342,0.5158774860194575,0.7322346268996243
28,Training dataset/1/Irregular_3_Chirp_1_0.05.mat,9818087.12403964,1622.7386867215391,3133.3826967096825,0.25168048954631966,0.9362363232049776
29,Training dataset/3/Photothermal3_Data1_15_pw15.mat,76044377109.79659,90232.88696555603,275761.4496440657,0.4089312618088013,0.8285791763088944
30,Training dataset/7/Photothermal5_Data1_ax5_11_pw11.mat,38608794.60092984,3291.0595534176305,6213.597557046147,0.496604984941229,0.7363141730761364
31,Training dataset/4/Photothermal4_Data1_01_pw1.mat,20107934683.441345,72848.88784787517,141802.4494973248,0.2333748495152188,0.9454539485758103
32,Training dataset/4/Photothermal4_Data1_16_pw16.mat,26792252150.787384,83273.68791324225,163683.38996607868,0.1675364999312394,0.9702214511368774
33,Training dataset/10/Photothermal3_Data1_plain_04_pw4.mat,25529170.110656235,2854.329046652304,5052.639915000497,0.21747401377430053,0.9525893449927232
34,Training dataset/4/Photothermal_Data1_06_pw6.mat,185235237.81683567,9695.141659547222,13610.115275663013,0.327190994226122,0.8920193781785385
35,Training dataset/10/Photothermal2_Data1_plain_15_pw15.mat,72481497430.87943,89853.45340498236,269223.87975601165,0.38677477352375483,0.8468950109188024
36,Training dataset/9/Photothermal_Data1_plain_07_pw7.mat,8189344.227385783,1222.4710861830943,2861.7030292093173,0.263777001109119,0.9301600483787789
37,Training dataset/4/Photothermal3_Data1_09_pw9.mat,637398859.9937351,18386.48008963966,25246.759395885547,0.4907163608026818,0.7561669531583342
38,Training dataset/2/PT_77.mat,51718003.56448292,3869.311497867242,7191.523035107579,0.27079283196087045,0.926487867921973
39,Training dataset/10/Photothermal_Data1_plain_16_pw16.mat,6325224596.739788,35729.52902012604,79531.28061800456,0.0909318912636151,0.9912177001750155
