sample,file,mse,mae,rmse,relative_l2,r2
1,Training dataset/2/PT_14.mat,299731724.19397664,5475.529740645662,17312.761888097943,0.8679197360436025,0.2453155592435058
2,Training dataset/4/Photothermal5_Data1_06_pw6.mat,507904052.6919048,16689.98148452119,22536.726751946582,0.5293088506133123,0.7180152752777409
3,Training dataset/8/Photothermal2_Data1_ax5_11_pw11.mat,47209883.164293155,3839.66269574133,6870.944852368789,0.8995005352034392,0.14326870624454213
4,Training dataset/5/Photothermal_Data1_ax5_01_pw1.mat,3200048687.1291547,32381.19708132563,56568.97283077672,0.4871502470328105,0.7607088685628014
5,Training dataset/9/Photothermal_Data1_plain_13_pw13.mat,38454102.504824944,2837.998457323634,6201.137194484972,0.3723542252370733,0.8600535643784446
6,Training dataset/9/Photothermal4_Data1_plain_02_pw2.mat,57287538.511622906,3398.5793815201628,7568.8531833840525,0.4767363947458406,0.7691733592395711
7,Training dataset/10/Photothermal3_Data1_plain_08_pw8.mat,258014756.9748051,9353.785865515063,16062.837762201456,0.4909896798325114,0.7571930539576766
8,Training dataset/9/Photothermal5_Data1_plain_12_pw12.mat,184623347.89063403,6854.183186342159,13587.617447169832,0.49845072701200965,0.7359442345571812
9,Training dataset/10/Photothermal2_Data1_plain_02_pw2.mat,144963434.53250176,6654.885518474769,12040.076184663523,0.41864626425995566,0.8236723883773216
10,Training dataset/3/Photothermal5_Data1_09_pw9.mat,263310999.2202548,10405.021862203328,16226.860424008546,0.5231651220750219,0.7170313724037031
11,Training dataset/2/PT_93.mat,130568884.73275685,4952.700424950879,11426.674263877345,0.5965367274847753,0.6339433584671769
12,Training dataset/8/Photothermal4_Data1_ax5_06_pw6.mat,44537685.63530571,3842.5334077255643,6673.656092076195,0.874494592539023,0.19222862347909375
13,Training dataset/1/Irregular_3_Chirp_1_0.2.mat,231544663.43554053,7004.280716545425,15216.591715477567,0.7299589357570785,0.44734590713591627
14,Training dataset/1/Irregular_4_Chirp_4_0.2.mat,397986780.81378025,9304.199101318847,19949.606031543084,0.7296655637512194,0.434260852809758
15,Training dataset/9/Photothermal2_Data1_plain_02_pw2.mat,62298232.22278256,3282.1826873401633,7892.922920109037,0.4970350065510345,0.7489735161172784
16,Training dataset/2/PT_49.mat,129543530.44268256,4480.017879572885,11381.719133886698,0.6509588427339459,0.5698088863689013
17,Training dataset/7/Photothermal3_Data1_ax5_16_pw16.mat,252526779398.57397,370215.0331942073,502520.4268470825,0.596975277350588,0.6104029141287619
18,Training dataset/4/Photothermal5_Data1_03_pw3.mat,707966143.7843351,20691.423785982723,26607.633186443607,0.5496255816948339,0.6950980427054421
19,Training dataset/7/Photothermal_Data1_ax5_10_pw10.mat,45341766.9980545,2513.0223634469344,6733.629556045869,0.9040936677977197,0.17926668660959666
20,Training dataset/8/Photothermal2_Data1_ax5_04_pw4.mat,15190352.028730065,1826.4113901883732,3897.4802153096384,0.919614096235248,0.15412179917617008
21,Training dataset/3/Photothermal5_Data1_13_pw13.mat,916219641.0349927,16167.598040276867,30269.120255385566,0.9268357242360498,0.13777321680046628
22,Training dataset/7/Photothermal2_Data1_ax5_06_pw6.mat,510195128.98603225,10667.490835321545,22587.49939648106,1.622360981155634,-1.7589461451747295
23,Training dataset/10/Photothermal2_Data1_plain_01_pw1.mat,27657743728.55976,49603.92554178752,166306.17465554236,0.29085239087828535,0.9152905138129708
24,Training dataset/4/Photothermal_Data1_04_pw4.mat,457801549.8667833,13162.52510062882,21396.297573804288,1.1486012846717417,-0.32651554405575567
25,Training dataset/10/Photothermal4_Data1_plain_16_pw16.mat,81205987241.67052,142617.95247243793,284966.6423314675,0.3190014755286014,0.8922570063700723
26,Training dataset/6/Photothermal_Data1_ax5_06_pw6.mat,29572758.411625654,2206.4123481357597,5438.084075446577,0.8107385675976769,0.32559363314080836
27,Training dataset/5/Photothermal_Data1_ax5_07_pw7.mat,6426578.677035069,1022.0421702785835,2535.0697578242434,0.9048628149385216,0.17619059221748112
28,Training dataset/1/Irregular_3_Chirp_1_0.05.mat,92175263.65079762,2812.3285318035805,9600.79494889864,0.771157885121336,0.4013667173592729
29,Training dataset/3/Photothermal3_Data1_15_pw15.mat,23212821916.84786,66981.03750071146,152357.5463075192,0.22593355140157126,0.9476731718401179
30,Training dataset/7/Photothermal5_Data1_ax5_11_pw11.mat,82906626.1446991,4422.861250536037,9105.30758100456,0.7277170893157449,0.4337740288397903
31,Training dataset/4/Photothermal4_Data1_01_pw1.mat,500702378136.81525,228993.88796842837,707603.2632321697,1.1645553772454362,-0.35823684008927437
32,Training dataset/4/Photothermal4_Data1_16_pw16.mat,218380677775.3957,222182.72293118841,467312.18449276034,0.47831272183141677,0.7572783486373802
33,Training dataset/10/Photothermal3_Data1_plain_04_pw4.mat,362832546.2323806,7971.318424449928,19048.16385461813,0.8198646128532822,0.3261775151439489
34,Training dataset/4/Photothermal_Data1_06_pw6.mat,551477672.274764,16683.198606371243,23483.561745926956,0.5645514256316314,0.6785228137073978
35,Training dataset/10/Photothermal2_Data1_plain_15_pw15.mat,23861938883.602585,73919.8866530903,154473.10084154646,0.22192050224344448,0.9495956620078143
36,Training dataset/9/Photothermal_Data1_plain_07_pw7.mat,12544919.522150211,1436.5164551463479,3541.880788811251,0.32647226863330975,0.8930150541300469
37,Training dataset/4/Photothermal3_Data1_09_pw9.mat,1035850877.5975642,25051.30384651595,32184.63729168878,0.6255665498512584,0.6037415589094884
38,Training dataset/2/PT_77.mat,537314696.312641,9668.838249555576,23180.04953214382,0.8728319838719328,0.2362591945911392
39,Training dataset/10/Photothermal_Data1_plain_16_pw16.mat,44461652690.13821,98177.92625998979,210859.31966630786,0.24108547771841463,0.9382669246105517
40,Training dataset/9/Photothermal4_Data1_plain_14_pw14.mat,177853010200.47977,141506.53749600408,421726.2265978721,0.9860318913631402,0.021455467641740555
41,Training dataset/4/Photothermal3_Data1_13_pw13.mat,666533951.4881065,19323.443876797188,25817.31882841645,0.9822888361571133,0.026433901780408386
42,Training dataset/9/Photothermal_Data1_plain_01_pw1.mat,21762445273.082344,38168.80589588401,147520.99943086863,0.462289032024158,0.7859417737972243
43,Training dataset/8/Photothermal_Data1_ax5_11_pw11.mat,43588860.02285017,2596.90951214758,6602.186003351479,0.8562676699600533,0.23663057045985814
44,Training dataset/2/PT_11.mat,402259768.4500198,7174.695162779909,20056.414645943572,0.8723242082372631,0.23718858846339586
45,Training dataset/1/Chirp_3_0.05.mat,120379983.00524457,3478.6516968894243,10971.781213879749,0.7811458237660622,0.38623580080275444
46,Training dataset/3/Photothermal4_Data1_13_pw13.mat,948933458.1950555,16395.000929634873,30804.763563368822,0.957260802033962,0.08016660817813326
47,Training dataset/7/Photothermal4_Data1_ax5_12_pw12.mat,368279636.4004405,11285.637472213775,19190.613236695706,0.8871294994553265,0.12544724323940237
48,Training dataset/5/Photothermal5_Data1_ax5_12_pw12.mat,94109516.28027155,4852.363776148874,9701.005941667676,0.890784540728266,0.11785084277519786
49,Training dataset/2/PT_82.mat,303998557289.39435,163496.23475963113,551360.6417667064,0.8559388704632142,0.25134786994958336
50,Training dataset/5/Photothermal3_Data1_ax5_14_pw14.mat,34766730463.02265,94141.85916045838,186458.38802001547,0.9896728019934649,-0.010456319867676589
51,Training dataset/9/Photothermal_Data1_plain_04_pw4.mat,22651262.63210173,1860.096409563685,4759.334263539568,0.37977254854773207,0.8550542891288125
52,Training dataset/8/Photothermal_Data1_ax5_15_pw15.mat,38410575590.72451,137088.62915323648,195986.1617327216,0.6534280038596509,0.5570916717112271
53,Training dataset/8/Photothermal3_Data1_ax5_10_pw10.mat,14528539.202508377,1696.6691432174714,3811.6320917040744,0.9528357045145217,0.07381721632377303
54,Training dataset/9/Photothermal2_Data1_plain_14_pw14.mat,186478180724.46802,138561.0652503002,431831.19470977085,0.9862770901598923,0.018216120056016583
55,Training dataset/2/PT_56.mat,198605733.4967306,7197.278602258374,14092.754645445673,0.5774341274376944,0.6498600829632106
56,Training dataset/7/Photothermal2_Data1_ax5_15_pw15.mat,144922154370.9434,285583.8922692506,380686.4252517331,0.63801274830628,0.5809605803374316
57,Training dataset/1/Irregular_1_PT_1.mat,119292406352.6836,238535.9899975927,345387.328014048,0.39924951911480455,0.8309304027430706
