sample,file,mse,mae,rmse,relative_l2,r2
1,Training dataset/2/PT_14.mat,37251010.447178625,2450.3957119452502,6103.360586363764,0.30597238865379783,0.9062069320071383
2,Training dataset/4/Photothermal5_Data1_06_pw6.mat,292424218.84636724,12143.755386151524,17100.41575068768,0.40162892799969163,0.8376481494556327
3,Training dataset/8/Photothermal2_Data1_ax5_11_pw11.mat,18918824.415564153,2541.3169815837077,4349.577498512258,0.5694191078351879,0.6566746657374131
4,Training dataset/5/Photothermal_Data1_ax5_01_pw1.mat,34890274.80471497,4058.4206554274265,5906.799032023603,0.050867082494698256,0.9973909980283253
5,Training dataset/9/Photothermal_Data1_plain_13_pw13.mat,24723642.317635227,2037.9279891389097,4972.287433127255,0.2985665655752203,0.9100229782374671
6,Training dataset/9/Photothermal4_Data1_plain_02_pw2.mat,44979398.562556334,3144.6308754951037,6706.668216227513,0.4224302874813191,0.8187661096398324
7,Training dataset/10/Photothermal3_Data1_plain_08_pw8.mat,16126230.684006514,2504.297466375842,4015.7478362076613,0.12274859359081736,0.9848242756752863
8,Training dataset/9/Photothermal5_Data1_plain_12_pw12.mat,79963585.95725346,4683.679588596245,8942.236071433892,0.3280386784695387,0.8856328512144462
9,Training dataset/10/Photothermal2_Data1_plain_02_pw2.mat,10133366.269916367,2049.6659068289205,3183.2948763688805,0.1106865511139565,0.9876741864054583
10,Training dataset/3/Photothermal5_Data1_09_pw9.mat,24167094.35405827,3182.403403866096,4916.003900940099,0.15849534128927176,0.9740286978416812
11,Training dataset/2/PT_93.mat,14036951.481992796,2058.7483969073573,3746.591982321106,0.19559319437501385,0.9606466783615838
12,Training dataset/8/Photothermal4_Data1_ax5_06_pw6.mat,2088432.5562100403,1093.1085231782529,1445.1410160292455,0.18936666596806354,0.9621225032994627
13,Training dataset/1/Irregular_3_Chirp_1_0.2.mat,23973615.772378523,3089.4104085871227,4896.2859161183105,0.23488095910838622,0.9427794332170201
