sample,file,mse,mae,rmse,relative_l2,r2
1,Training dataset/2/PT_14.mat,56835771.826199904,2836.1001662105477,7538.95031328632,0.3779410707688166,0.8568951191570887
2,Training dataset/4/Photothermal5_Data1_06_pw6.mat,408955580.48749673,13760.416674512304,20222.65018457019,0.47495928949067057,0.7729507646646969
3,Training dataset/8/Photothermal2_Data1_ax5_11_pw11.mat,19421159.440699164,2889.791631434397,4406.944456275704,0.5769292262133644,0.6475586479221412
4,Training dataset/5/Photothermal_Data1_ax5_01_pw1.mat,1150150811.615881,23281.71897386867,33913.87343869587,0.2920532404384002,0.9139947807225758
5,Training dataset/9/Photothermal_Data1_plain_13_pw13.mat,30255165.33555354,2459.710944020163,5500.469555915526,0.33028185245676356,0.8898920460483951
6,Training dataset/9/Photothermal4_Data1_plain_02_pw2.mat,24468534.673000317,2572.57034201129,4946.567969107502,0.31156754171616846,0.9014098037786553
7,Training dataset/10/Photothermal3_Data1_plain_08_pw8.mat,134991222.37628,6510.776311069268,11618.572303698937,0.355142670302498,0.8729653806161741
8,Training dataset/9/Photothermal5_Data1_plain_12_pw12.mat,84893201.33636709,5121.702167530174,9213.750666062495,0.33799897118555045,0.8785823162894614
9,Training dataset/10/Photothermal2_Data1_plain_02_pw2.mat,128118598.47576074,5598.8012836046655,11318.948647103261,0.393571892219093,0.8441617601947007
10,Training dataset/3/Photothermal5_Data1_09_pw9.mat,149891137.96021935,7370.267045109001,12243.003633104883,0.39472284366244587,0.8389186561782346
11,Training dataset/2/PT_93.mat,37369233.88979832,2781.2816778357346,6113.038024566698,0.31913500060932143,0.8952334142827958
12,Training dataset/8/Photothermal4_Data1_ax5_06_pw6.mat,16319626.483015997,2952.034894995166,4039.7557454648168,0.5293566983144294,0.7040140959178427
13,Training dataset/1/Irregular_3_Chirp_1_0.2.mat,60542391.07198921,4360.835421763894,7780.899117196496,0.37325946210706296,0.8554965607012255
14,Training dataset/1/Irregular_4_Chirp_4_0.2.mat,109104509.76627769,5564.065140110404,10445.310419814132,0.3820417959121291,0.8449076821507179
15,Training dataset/9/Photothermal2_Data1_plain_02_pw2.mat,29210361.79537038,2683.6496726274013,5404.6611175327525,0.34034359655470986,0.882298836535004
16,Training dataset/2/PT_49.mat,28152599.742439497,2577.2673036446636,5305.9023495009305,0.30346242184162764,0.906510203995334
17,Training dataset/7/Photothermal3_Data1_ax5_16_pw16.mat,188374939666.26547,309076.4385524166,434021.8193435273,0.5156015201301528,0.7093760601551402
18,Training dataset/4/Photothermal5_Data1_03_pw3.mat,588036297.0837203,18524.923986811533,24249.45972766652,0.5009135279042685,0.7467485987639432
19,Training dataset/7/Photothermal_Data1_ax5_10_pw10.mat,13635246.052618474,1502.3041780598958,3692.593404724987,0.49578764129755487,0.7531878130788517
20,Training dataset/8/Photothermal2_Data1_ax5_04_pw4.mat,8644271.037151167,1456.4423163243825,2940.1141197496345,0.6937226720077779,0.5186418051069838
